Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
Microsoft - Price: 96.170486     Price change: 0.020004% 
AT&T - Price: 118.336670     Price change: 0.320002% 
Day 12: 
ExxonMobil - Price: 111.822571     Price change: 1.740001% 
Shermin-Williams - Price: 111.217072     Price change: 4.839998% 
Boeing - Price: 110.108391     Price change: 0.530000% 
Duke Energy - Price: 112.475922     Price change: 0.589998% 
UnitedHealth Group - Price: 118.760490     Price change: 0.980000% 
JPMorgan Chase - Price: 113.002716     Price change: 2.840001% 
McDonalds - Price: 108.397041     Price change: 0.100003% 
Coca-Cola - Price: 106.624367     Price change: 5.700000% 
Microsoft - Price: 98.113129     Price change: 2.019998% 
AT&T - Price: 121.212250     Price change: 2.429999% 
Day 13: 
ExxonMobil - Price: 116.060646     Price change: 3.790000% 
Shermin-Williams - Price: 110.772202     Price change: -0.400002% 
Boeing - Price: 111.782036     Price change: 1.519998% 
Duke Energy - Price: 113.094536     Price change: 0.549997% 
UnitedHealth Group - Price: 122.133286     Price change: 2.839998% 
JPMorgan Chase - Price: 114.031044     Price change: 0.910003% 
McDonalds - Price: 112.559486     Price change: 3.839999% 
Coca-Cola - Price: 108.223732     Price change: 1.500000% 
Microsoft - Price: 101.341049     Price change: 3.289999% 
AT&T - Price: 126.945587     Price change: 4.729998% 
Day 14: 
ExxonMobil - Price: 117.557831     Price change: 1.290002% 
Shermin-Williams - Price: 111.691612     Price change: 0.830001% 
Boeing - Price: 112.620399     Price change: 0.749999% 
Duke Energy - Price: 113.117157     Price change: 0.020002% 
UnitedHealth Group - Price: 127.995682     Price change: 4.799999% 
JPMorgan Chase - Price: 116.790596     Price change: 2.420001% 
McDonalds - Price: 116.634140     Price change: 3.620000% 
Coca-Cola - Price: 109.738861     Price change: 1.399997% 
Microsoft - Price: 103.144920     Price change: 1.780000% 
AT&T - Price: 125.930023     Price change: -0.799999% 
Day 15: 
ExxonMobil - Price: 119.156616     Price change: 1.359999% 
Shermin-Williams - Price: 116.963455     Price change: 4.719999% 
Boeing - Price: 117.012596     Price change: 3.900001% 
Duke Energy - Price: 112.087791     Price change: -0.909999% 
UnitedHealth Group - Price: 130.402008     Price change: 1.880006% 
JPMorgan Chase - Price: 120.889946     Price change: 3.510000% 
McDonalds - Price: 118.302010     Price change: 1.430001% 
Coca-Cola - Price: 111.505653     Price change: 1.609997% 
Microsoft - Price: 102.515739     Price change: -0.609997% 
AT&T - Price: 126.547081     Price change: 0.490001% 
Day 16: 
ExxonMobil - Price: 118.691902     Price change: -0.390003% 
Shermin-Williams - Price: 117.326042     Price change: 0.310000% 
Boeing - Price: 119.879402     Price change: 2.449998% 
Duke Energy - Price: 110.305595     Price change: -1.590000% 
UnitedHealth Group - Price: 133.948944     Price change: 2.720001% 
JPMorgan Chase - Price: 121.337242     Price change: 0.370003% 
McDonalds - Price: 118.018082     Price change: -0.240003% 
Coca-Cola - Price: 111.862473     Price change: 0.320001% 
Microsoft - Price: 105.468193     Price change: 2.880000% 
AT&T - Price: 127.673347     Price change: 0.889998% 
Day 17: 
ExxonMobil - Price: 120.769012     Price change: 1.750002% 
Shermin-Williams - Price: 114.345963     Price change: -2.539998% 
Boeing - Price: 118.992294     Price change: -0.740000% 
Duke Energy - Price: 110.757851     Price change: 0.410002% 
UnitedHealth Group - Price: 135.583115     Price change: 1.219995% 
JPMorgan Chase - Price: 121.203773     Price change: -0.109998% 
McDonalds - Price: 118.974030     Price change: 0.810001% 
Coca-Cola - Price: 112.511276     Price change: 0.580001% 
Microsoft - Price: 104.877571     Price change: -0.560000% 
AT&T - Price: 127.086052     Price change: -0.459999% 
Day 18: 
ExxonMobil - Price: 120.913933     Price change: 0.119998% 
Shermin-Williams - Price: 118.645370     Price change: 3.760000% 
Boeing - Price: 121.431633     Price change: 2.049997% 
Duke Energy - Price: 113.615402     Price change: 2.579999% 
UnitedHealth Group - Price: 139.664169     Price change: 3.010002% 
JPMorgan Chase - Price: 121.470421     Price change: 0.219999% 
McDonalds - Price: 118.260185     Price change: -0.600000% 
Coca-Cola - Price: 112.500023     Price change: -0.010002% 
Microsoft - Price: 105.160744     Price change: 0.270003% 
AT&T - Price: 128.204407     Price change: 0.879998% 
Day 19: 
ExxonMobil - Price: 123.707047     Price change: 2.310002% 
Shermin-Williams - Price: 119.653854     Price change: 0.849999% 
Boeing - Price: 121.407349     Price change: -0.019998% 
Duke Energy - Price: 112.967796     Price change: -0.569998% 
UnitedHealth Group - Price: 146.577545     Price change: 4.950000% 
JPMorgan Chase - Price: 121.604042     Price change: 0.110003% 
McDonalds - Price: 121.122078     Price change: 2.419997% 
Coca-Cola - Price: 112.500023     Price change: 0.000000% 
Microsoft - Price: 105.160744     Price change: 0.000000% 
AT&T - Price: 133.242844     Price change: 3.930003% 
Day 20: 
ExxonMobil - Price: 123.187477     Price change: -0.420000% 
Shermin-Williams - Price: 120.012817     Price change: 0.300001% 
Boeing - Price: 118.190056     Price change: -2.649998% 
Duke Energy - Price: 112.628891     Price change: -0.300002% 
UnitedHealth Group - Price: 150.520477     Price change: 2.689997% 
JPMorgan Chase - Price: 121.154106     Price change: -0.370001% 
McDonalds - Price: 120.346893     Price change: -0.640003% 
Coca-Cola - Price: 113.816277     Price change: 1.170003% 
Microsoft - Price: 104.571846     Price change: -0.559998% 
AT&T - Price: 136.973648     Price change: 2.800004% 
Day 21: 
ExxonMobil - Price: 130.110611     Price change: 5.619998% 
Shermin-Williams - Price: 114.612244     Price change: -4.499997% 
Boeing - Price: 117.374542     Price change: -0.690002% 
Duke Energy - Price: 113.800232     Price change: 1.040000% 
UnitedHealth Group - Price: 149.933441     Price change: -0.390004% 
JPMorgan Chase - Price: 125.806427     Price change: 3.840003% 
McDonalds - Price: 122.320580     Price change: 1.639998% 
Coca-Cola - Price: 114.612991     Price change: 0.700001% 
Microsoft - Price: 105.565277     Price change: 0.949999% 
AT&T - Price: 138.521454     Price change: 1.130003% 
Day 22: 
ExxonMobil - Price: 130.774170     Price change: 0.509996% 
Shermin-Williams - Price: 115.999054     Price change: 1.210002% 
Boeing - Price: 125.884193     Price change: 7.249997% 
Duke Energy - Price: 112.946732     Price change: -0.749999% 
UnitedHealth Group - Price: 152.977097     Price change: 2.030004% 
JPMorgan Chase - Price: 128.473526     Price change: 2.120002% 
McDonalds - Price: 126.589569     Price change: 3.490001% 
Coca-Cola - Price: 116.011269     Price change: 1.219999% 
Microsoft - Price: 108.362755     Price change: 2.649998% 
AT&T - Price: 140.114456     Price change: 1.150004% 
Day 23: 
ExxonMobil - Price: 128.511780     Price change: -1.729998% 
Shermin-Williams - Price: 118.284233     Price change: 1.969998% 
Boeing - Price: 126.110786     Price change: 0.180001% 
Duke Energy - Price: 115.137901     Price change: 1.940003% 
UnitedHealth Group - Price: 158.484268     Price change: 3.599997% 
JPMorgan Chase - Price: 130.811737     Price change: 1.819994% 
McDonalds - Price: 132.703842     Price change: 4.829998% 
Coca-Cola - Price: 116.591324     Price change: 0.499999% 
Microsoft - Price: 109.944855     Price change: 1.460003% 
AT&T - Price: 142.650528     Price change: 1.810000% 
Day 24: 
ExxonMobil - Price: 128.935867     Price change: 0.329999% 
Shermin-Williams - Price: 120.259583     Price change: 1.670002% 
Boeing - Price: 121.167244     Price change: -3.920000% 
Duke Energy - Price: 118.753235     Price change: 3.140003% 
UnitedHealth Group - Price: 158.785385     Price change: 0.189998% 
JPMorgan Chase - Price: 130.170761     Price change: -0.489999% 
McDonalds - Price: 134.455536     Price change: 1.320002% 
Coca-Cola - Price: 115.903435     Price change: -0.590000% 
Microsoft - Price: 108.493584     Price change: -1.319999% 
AT&T - Price: 142.194046     Price change: -0.320000% 
Day 25: 
ExxonMobil - Price: 132.056122     Price change: 2.420005% 
Shermin-Williams - Price: 121.365974     Price change: 0.920003% 
Boeing - Price: 120.658340     Price change: -0.420001% 
Duke Energy - Price: 118.586983     Price change: -0.139998% 
UnitedHealth Group - Price: 157.483337     Price change: -0.820005% 
JPMorgan Chase - Price: 129.571976     Price change: -0.460000% 
McDonalds - Price: 140.008545     Price change: 4.129997% 
Coca-Cola - Price: 115.729576     Price change: -0.150003% 
Microsoft - Price: 110.251183     Price change: 1.620003% 
AT&T - Price: 141.426193     Price change: -0.540003% 
Day 26: 
ExxonMobil - Price: 132.478699     Price change: 0.319998% 
Shermin-Williams - Price: 125.383186     Price change: 3.309998% 
Boeing - Price: 121.249565     Price change: 0.489999% 
Duke Energy - Price: 119.381516     Price change: 0.670000% 
UnitedHealth Group - Price: 158.412491     Price change: 0.590001% 
JPMorgan Chase - Price: 127.641350     Price change: -1.490003% 
McDonalds - Price: 141.940659     Price change: 1.379997% 
Coca-Cola - Price: 121.874817     Price change: 5.310000% 
Microsoft - Price: 109.567627     Price change: -0.619998% 
AT&T - Price: 146.418533     Price change: 3.529997% 
Day 27: 
ExxonMobil - Price: 132.955627     Price change: 0.360004% 
Shermin-Williams - Price: 130.548981     Price change: 4.120006% 
Boeing - Price: 121.019188     Price change: -0.190002% 
Duke Energy - Price: 119.644157     Price change: 0.220002% 
UnitedHealth Group - Price: 160.772842     Price change: 1.490003% 
JPMorgan Chase - Price: 128.675247     Price change: 0.810002% 
McDonalds - Price: 142.181961     Price change: 0.170002% 
Coca-Cola - Price: 122.496376     Price change: 0.509998% 
Microsoft - Price: 110.542778     Price change: 0.889999% 
AT&T - Price: 146.257477     Price change: -0.109997% 
Day 28: 
ExxonMobil - Price: 135.056320     Price change: 1.579995% 
Shermin-Williams - Price: 131.253952     Price change: 0.540005% 
Boeing - Price: 121.442757     Price change: 0.350001% 
Duke Energy - Price: 124.956360     Price change: 4.440002% 
UnitedHealth Group - Price: 155.210098     Price change: -3.460002% 
JPMorgan Chase - Price: 129.743256     Price change: 0.830003% 
McDonalds - Price: 141.584793     Price change: -0.420003% 
Coca-Cola - Price: 123.035362     Price change: 0.440002% 
Microsoft - Price: 109.934792     Price change: -0.550001% 
AT&T - Price: 151.215607     Price change: 3.390001% 
Day 29: 
ExxonMobil - Price: 137.581879     Price change: 1.870004% 
Shermin-Williams - Price: 131.687088     Price change: 0.329998% 
Boeing - Price: 118.843880     Price change: -2.140002% 
Duke Energy - Price: 124.006691     Price change: -0.760000% 
UnitedHealth Group - Price: 152.944031     Price change: -1.460000% 
JPMorgan Chase - Price: 124.242142     Price change: -4.240000% 
McDonalds - Price: 146.582733     Price change: 3.529998% 
Coca-Cola - Price: 125.003929     Price change: 1.600001% 
Microsoft - Price: 110.682350     Price change: 0.680002% 
AT&T - Price: 152.939468     Price change: 1.140002% 
Day 30: 
ExxonMobil - Price: 136.302368     Price change: -0.929999% 
Shermin-Williams - Price: 130.607254     Price change: -0.820000% 
Boeing - Price: 125.938858     Price change: 5.969999% 
Duke Energy - Price: 124.105896     Price change: 0.080000% 
UnitedHealth Group - Price: 154.182877     Price change: 0.809999% 
JPMorgan Chase - Price: 125.397591     Price change: 0.929998% 
McDonalds - Price: 146.890564     Price change: 0.210005% 
Coca-Cola - Price: 125.328941     Price change: 0.260002% 
Microsoft - Price: 110.261757     Price change: -0.380000% 
AT&T - Price: 151.930069     Price change: -0.659999% 
Day 31: 
ExxonMobil - Price: 137.869843     Price change: 1.149998% 
Shermin-Williams - Price: 133.650406     Price change: 2.330002% 
Boeing - Price: 129.036957     Price change: 2.460002% 
Duke Energy - Price: 125.446243     Price change: 1.080003% 
UnitedHealth Group - Price: 155.770966     Price change: 1.030003% 
JPMorgan Chase - Price: 127.767609     Price change: 1.890003% 
McDonalds - Price: 144.305283     Price change: -1.760005% 
Coca-Cola - Price: 125.667328     Price change: 0.269999% 
Microsoft - Price: 111.077690     Price change: 0.739997% 
AT&T - Price: 151.443893     Price change: -0.320000% 
Day 32: 
ExxonMobil - Price: 138.352386     Price change: 0.350000% 
Shermin-Williams - Price: 134.024628     Price change: 0.280000% 
Boeing - Price: 130.843475     Price change: 1.400001% 
Duke Energy - Price: 125.634415     Price change: 0.150002% 
UnitedHealth Group - Price: 153.527863     Price change: -1.440001% 
JPMorgan Chase - Price: 126.119408     Price change: -1.289999% 
McDonalds - Price: 142.357162     Price change: -1.349999% 
Coca-Cola - Price: 128.067581     Price change: 1.910006% 
Microsoft - Price: 112.754967     Price change: 1.510003% 
AT&T - Price: 153.336945     Price change: 1.250002% 
Day 33: 
ExxonMobil - Price: 140.828888     Price change: 1.789995% 
Shermin-Williams - Price: 134.239075     Price change: 0.160006% 
Boeing - Price: 133.800537     Price change: 2.259999% 
Duke Energy - Price: 125.998756     Price change: 0.290002% 
UnitedHealth Group - Price: 151.716232     Price change: -1.180001% 
JPMorgan Chase - Price: 128.137314     Price change: 1.599997% 
McDonalds - Price: 143.239777     Price change: 0.620000% 
Coca-Cola - Price: 130.347183     Price change: 1.779999% 
Microsoft - Price: 112.157364     Price change: -0.530001% 
AT&T - Price: 155.744339     Price change: 1.570003% 
Day 34: 
ExxonMobil - Price: 145.729736     Price change: 3.480002% 
Shermin-Williams - Price: 135.943909     Price change: 1.269998% 
Boeing - Price: 138.309616     Price change: 3.370001% 
Duke Energy - Price: 126.301155     Price change: 0.240001% 
UnitedHealth Group - Price: 153.567169     Price change: 1.219999% 
JPMorgan Chase - Price: 127.445374     Price change: -0.539999% 
McDonalds - Price: 142.093857     Price change: -0.800001% 
Coca-Cola - Price: 130.464493     Price change: 0.089998% 
Microsoft - Price: 113.379883     Price change: 1.090003% 
AT&T - Price: 156.538635     Price change: 0.510000% 
Day 35: 
ExxonMobil - Price: 147.755386     Price change: 1.390005% 
Shermin-Williams - Price: 141.571991     Price change: 4.140003% 
Boeing - Price: 138.364944     Price change: 0.040003% 
Duke Energy - Price: 127.008438     Price change: 0.559997% 
UnitedHealth Group - Price: 154.150726     Price change: 0.380001% 
JPMorgan Chase - Price: 131.345200     Price change: 3.059998% 
McDonalds - Price: 142.733276     Price change: 0.449998% 
Coca-Cola - Price: 132.434509     Price change: 1.510002% 
Microsoft - Price: 115.148605     Price change: 1.559997% 
AT&T - Price: 156.147293     Price change: -0.249997% 
Day 36: 
ExxonMobil - Price: 149.661438     Price change: 1.290005% 
Shermin-Williams - Price: 141.345474     Price change: -0.160001% 
Boeing - Price: 139.582550     Price change: 0.879996% 
Duke Energy - Price: 130.158249     Price change: 2.480001% 
UnitedHealth Group - Price: 156.971680     Price change: 1.829997% 
JPMorgan Chase - Price: 133.893295     Price change: 1.939999% 
McDonalds - Price: 147.914490     Price change: 3.629997% 
Coca-Cola - Price: 133.427765     Price change: 0.749998% 
Microsoft - Price: 115.747375     Price change: 0.519998% 
AT&T - Price: 155.678848     Price change: -0.300002% 
Day 37: 
ExxonMobil - Price: 150.379807     Price change: 0.479996% 
Shermin-Williams - Price: 144.582291     Price change: 2.290004% 
Boeing - Price: 146.757095     Price change: 5.140002% 
Duke Energy - Price: 133.815689     Price change: 2.809995% 
UnitedHealth Group - Price: 155.527542     Price change: -0.919999% 
JPMorgan Chase - Price: 132.621307     Price change: -0.950001% 
McDonalds - Price: 152.085678     Price change: 2.820000% 
Coca-Cola - Price: 134.641953     Price change: 0.909996% 
Microsoft - Price: 115.585327     Price change: -0.140002% 
AT&T - Price: 155.258514     Price change: -0.270001% 
Day 38: 
ExxonMobil - Price: 156.259659     Price change: 3.910001% 
Shermin-Williams - Price: 145.203995     Price change: 0.430000% 
Boeing - Price: 144.981339     Price change: -1.209997% 
Duke Energy - Price: 138.178085     Price change: 3.260004% 
UnitedHealth Group - Price: 163.335022     Price change: 5.019998% 
JPMorgan Chase - Price: 135.618546     Price change: 2.259997% 
McDonalds - Price: 153.271942     Price change: 0.779997% 
Coca-Cola - Price: 136.634659     Price change: 1.480004% 
Microsoft - Price: 116.059227     Price change: 0.410000% 
AT&T - Price: 155.553513     Price change: 0.190005% 
Day 39: 
ExxonMobil - Price: 159.228592     Price change: 1.900000% 
Shermin-Williams - Price: 145.073318     Price change: -0.089995% 
Boeing - Price: 145.923721     Price change: 0.650003% 
Duke Energy - Price: 138.164261     Price change: -0.010005% 
UnitedHealth Group - Price: 166.160721     Price change: 1.730002% 
JPMorgan Chase - Price: 140.663559     Price change: 3.720003% 
McDonalds - Price: 156.996445     Price change: 2.429996% 
Coca-Cola - Price: 136.252075     Price change: -0.280005% 
Microsoft - Price: 117.045731     Price change: 0.850000% 
AT&T - Price: 158.011261     Price change: 1.580002% 
Day 40: 
ExxonMobil - Price: 163.989532     Price change: 2.990004% 
Shermin-Williams - Price: 148.584091     Price change: 2.419999% 
Boeing - Price: 145.806976     Price change: -0.080004% 
Duke Energy - Price: 137.805038     Price change: -0.259997% 
UnitedHealth Group - Price: 164.897903     Price change: -0.759998% 
JPMorgan Chase - Price: 146.107239     Price change: 3.870000% 
McDonalds - Price: 155.693375     Price change: -0.830000% 
Coca-Cola - Price: 137.478348     Price change: 0.900003% 
Microsoft - Price: 118.356644     Price change: 1.120001% 
AT&T - Price: 160.176010     Price change: 1.369997% 
Day 41: 
ExxonMobil - Price: 174.058487     Price change: 6.139998% 
Shermin-Williams - Price: 151.585495     Price change: 2.020003% 
Boeing - Price: 145.457047     Price change: -0.239995% 
Duke Energy - Price: 134.828445     Price change: -2.160003% 
UnitedHealth Group - Price: 171.114548     Price change: 3.769996% 
JPMorgan Chase - Price: 153.485657     Price change: 5.050002% 
McDonalds - Price: 156.923355     Price change: 0.790002% 
Coca-Cola - Price: 137.560837     Price change: 0.060001% 
Microsoft - Price: 123.576172     Price change: 4.410000% 
AT&T - Price: 165.125443     Price change: 3.089996% 
Day 42: 
ExxonMobil - Price: 174.493637     Price change: 0.250002% 
Shermin-Williams - Price: 150.539551     Price change: -0.690003% 
Boeing - Price: 144.380661     Price change: -0.740002% 
Duke Energy - Price: 137.902527     Price change: 2.279995% 
UnitedHealth Group - Price: 170.498535     Price change: -0.360000% 
JPMorgan Chase - Price: 150.830353     Price change: -1.730001% 
McDonalds - Price: 157.331360     Price change: 0.260003% 
Coca-Cola - Price: 138.771378     Price change: 0.880004% 
Microsoft - Price: 123.675034     Price change: 0.080001% 
AT&T - Price: 165.439178     Price change: 0.189999% 
Day 43: 
ExxonMobil - Price: 175.662750     Price change: 0.670003% 
Shermin-Williams - Price: 153.038513     Price change: 1.660004% 
Boeing - Price: 146.156540     Price change: 1.229998% 
Duke Energy - Price: 140.963959     Price change: 2.219997% 
UnitedHealth Group - Price: 171.453323     Price change: 0.559998% 
JPMorgan Chase - Price: 149.774536     Price change: -0.700003% 
McDonalds - Price: 163.294220     Price change: 3.790001% 
Coca-Cola - Price: 140.533768     Price change: 1.269995% 
Microsoft - Price: 124.120262     Price change: 0.359999% 
AT&T - Price: 166.216736     Price change: 0.469996% 
Day 44: 
ExxonMobil - Price: 177.840973     Price change: 1.240003% 
Shermin-Williams - Price: 151.967239     Price change: -0.700003% 
Boeing - Price: 145.513458     Price change: -0.439995% 
Duke Energy - Price: 140.343719     Price change: -0.439998% 
UnitedHealth Group - Price: 171.384735     Price change: -0.040004% 
JPMorgan Chase - Price: 151.362152     Price change: 1.060004% 
McDonalds - Price: 164.143356     Price change: 0.520004% 
Coca-Cola - Price: 139.325180     Price change: -0.859998% 
Microsoft - Price: 122.879059     Price change: -1.000001% 
AT&T - Price: 165.219437     Price change: -0.599999% 
Day 45: 
ExxonMobil - Price: 179.032501     Price change: 0.669997% 
Shermin-Williams - Price: 152.590302     Price change: 0.409998% 
Boeing - Price: 148.962128     Price change: 2.370000% 
Duke Energy - Price: 140.385818     Price change: 0.029997% 
UnitedHealth Group - Price: 172.670120     Price change: 0.750000% 
JPMorgan Chase - Price: 151.740555     Price change: 0.249998% 
McDonalds - Price: 163.749405     Price change: -0.240004% 
Coca-Cola - Price: 144.912125     Price change: 4.010003% 
Microsoft - Price: 125.705276     Price change: 2.299999% 
AT&T - Price: 171.068207     Price change: 3.540001% 
Day 46: 
ExxonMobil - Price: 179.694916     Price change: 0.369997% 
Shermin-Williams - Price: 154.024643     Price change: 0.939995% 
Boeing - Price: 151.002914     Price change: 1.370004% 
Duke Energy - Price: 141.284286     Price change: 0.639999% 
UnitedHealth Group - Price: 178.609970     Price change: 3.439999% 
JPMorgan Chase - Price: 153.227615     Price change: 0.980002% 
McDonalds - Price: 163.421906     Price change: -0.200000% 
Coca-Cola - Price: 147.940781     Price change: 2.089995% 
Microsoft - Price: 126.459511     Price change: 0.600002% 
AT&T - Price: 175.208054     Price change: 2.419998% 
Day 47: 
ExxonMobil - Price: 179.083954     Price change: -0.340000% 
Shermin-Williams - Price: 156.904907     Price change: 1.870002% 
Boeing - Price: 153.690765     Price change: 1.779999% 
Duke Energy - Price: 141.665756     Price change: 0.270002% 
UnitedHealth Group - Price: 179.503021     Price change: 0.500001% 
JPMorgan Chase - Price: 153.028412     Price change: -0.130005% 
McDonalds - Price: 164.173645     Price change: 0.459999% 
Coca-Cola - Price: 147.585724     Price change: -0.239999% 
Microsoft - Price: 126.977997     Price change: 0.410002% 
AT&T - Price: 181.725800     Price change: 3.720004% 
Day 48: 
ExxonMobil - Price: 179.961472     Price change: 0.490004% 
Shermin-Williams - Price: 155.335861     Price change: -0.999998% 
Boeing - Price: 154.643646     Price change: 0.619999% 
Duke Energy - Price: 145.207397     Price change: 2.499998% 
UnitedHealth Group - Price: 181.746811     Price change: 1.250001% 
JPMorgan Chase - Price: 151.635849     Price change: -0.910003% 
McDonalds - Price: 165.207932     Price change: 0.629995% 
Coca-Cola - Price: 150.330826     Price change: 1.860005% 
